Commodity,Transport Mode,Mass Shipped (kg),Avg. Dist. Shipped (km),Mass Frac. by Mode,Weighted Dist. Shipped (km)
"Transportation Equipment, not elsewhere classified",for-hire truck,2172163569.6971865,1247.66,0.5098296559432501,636.0940685341556
"Transportation Equipment, not elsewhere classified",company-owned truck,1169569813.708711,43.27,0.2745103472147121,11.878062723980594
"Transportation Equipment, not elsewhere classified",rail,836789668.2584223,384.75,0.19640334393626324,75.56618657947728
"Transportation Equipment, not elsewhere classified",air(incl. truck & air),82044266.0183008,2706.47,0.019256652905774475,52.11755338989144
"Waste and Scrap (excludes of agriculture or food, see 041xx)",for-hire truck,86895471198.47961,237.92,0.5712276082829323,135.90647256267525
"Waste and Scrap (excludes of agriculture or food, see 041xx)",company-owned truck,41982833575.72545,96.96,0.27598392967597646,26.759401821382674
"Waste and Scrap (excludes of agriculture or food, see 041xx)",rail,15962857045.358494,430.52,0.10493555677435615,45.17685590249581
"Waste and Scrap (excludes of agriculture or food, see 041xx)",inland water,7279411378.361766,328.21,0.04785290526673512,15.705802037595133
Wood Products,for-hire truck,160705712163.01135,533.86,0.6033375403770938,322.0977793057153
Wood Products,company-owned truck,95967359748.90605,90.71,0.3602903095856187,32.68193398251147
Wood Products,rail,9686670237.382114,1172.53,0.036366671207915396,42.641012991417035
Wood Products,air(incl. truck & air),1459347.5743736,1601.13,5.47882937219266e-06,0.008772318072698834
